Unnamed: 0,【育成したい人材像設計シート】,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,STEP,,,,1,,,2,,,3,,,4
,,,,,階層①,,,階層②,,,階層③,,,階層④
,,職務,,,研修/スタッフ,,,シニアスタッフ,,,サブリーダー,,,リーダー
,基本給レンジ,,,,"181,500～219,000",,,"219,000～247,000",,,"247,000～305,500",,,"305,500～387,560"
,求める人材イメージ,求める人材イメージ,,【あり方・考え方・姿勢】,,,,,,,,,,
,,,,,,,,,,,,,,
,,求める人材イメージ,,【仕事の進め方】,,,,,,,,,,
,,,,,,,,,,,,,,
,,求める人材イメージ,,知識・スキル,,,,,,,,,,
,,,,,,,,,,,,,,
,,求める人材イメージ,,学習コンテンツ,,,,,,,,,,
,,,,,,,,,,,,,,
,,求める人材イメージ,,,,,,,,,,,,
